 added a,menambahkan a
 comment, komentar
% SLA Fulfilled,% SLA Terpenuhi
% of tickets created that were resolved within SLA,% tiket yang dibuat dan diselesaikan dalam SLA
- Default Ticket Status<br>,- Status Tiket Default<br>
- Ticket Reopen Status<br>,- Status Pembukaan Kembali Tiket<br>
"0 is no feedback, 1 is Like, 2 is Dislike","0 berarti tidak ada masukan, 1 Suka, 2 Tidak Suka"
<br>Please update HD Settings to use a different status before disabling this status.,<br>Harap perbarui Pengaturan HD untuk menggunakan status yang berbeda sebelum menonaktifkan status ini.
<br>Please update the SLA(s) to use a different status before disabling this status.,<br>Harap perbarui SLA untuk menggunakan status yang berbeda sebelum menonaktifkan status ini.
A short description,Deskripsi singkat
A workday with this name already exists,Hari kerja dengan nama ini sudah ada
API,API
Access all team tickets,Akses semua tiket tim
Access denied,Akses ditolak
Access only this team's tickets,Akses hanya tiket tim ini
Account & Security,Akun & Keamanan
Acknowledgement,Pengakuan
Action,Tindakan
Action Required,Diperlukan Tindakan
Action to perform when clicking the button. The doc will be available as `this`,Tindakan yang harus dilakukan saat mengklik tombol. Dokumen akan tersedia sebagai `ini`
Active,Aktif
Activity,Aktivitas
Add Assignee,Tambahkan Penerima
Add Category,Tambahkan Kategori
Add Holiday,Tambahkan Hari Libur
Add New Article,Tambahkan Artikel Baru
Add Weekly Holidays,Tambah Hari Libur Mingguan
Add a comment on a ticket,Tambahkan komentar pada tiket
Add a condition,Tambahkan ketentuan
Add a custom condition,Tambahkan kondisi khusus
Add charts to get started,Tambahkan diagram untuk memulai
Add condition,Tambahkan ketentuan
Add condition group,Tambahkan grup ketentuan
Add holidays here to make sure they’re excluded from SLA calculations.,Tambahkan hari libur di sini untuk memastikan hari libur tersebut dikecualikan dari perhitungan SLA.
Add members to this team to get started.,Tambahkan anggota ke tim ini untuk memulai.
Add one to get started.,Tambahkan satu untuk memulai.
Add recurring holidays such as weekends.,Tambahkan hari libur berulang seperti akhir pekan.
Add time targets around support milestones like first reply and resolution times.,Tambahkan target waktu seputar pencapaian dukungan seperti waktu balasan dan resolusi pertama.
Add to Holidays,Tambah ke Hari Libur
"Add, manage agents and assign roles to them.","Tambahkan, kelola agen, dan tetapkan peran kepada mereka."
Additional Information,Informasi Tambahan
Administrator,Administrator
Agent,Agen
Agent Configuration,Konfigurasi Agen
Agent Dashboard,Dasbor Agen
Agent Manager,Manajer Agen
Agent Name,Nama Agen
Agent name,Nama agen
Agents,Agen
Agents will no longer be able to view and create saved replies with global scope.,Agen tidak lagi dapat melihat dan membuat balasan tersimpan dengan cakupan global.
All,Semua
All SLAs on track,Semua SLA berjalan sesuai rencana
All Time,Sepanjang Waktu
All Views,Semua Tampilan
All articles from this category will move to General category.,Semua artikel dari kategori ini akan dipindahkan ke kategori Umum.
All comments and emails of the ticket will be moved to the,Semua komentar dan email tiket akan dipindahkan ke
All your assigned tickets have been responded to,Semua tiket yang Anda tetapkan telah ditanggapi
Allow anyone to create tickets,Izinkan siapa pun membuat tiket
Allow users to react to comments with emojis,Izinkan pengguna bereaksi terhadap komentar dengan emoji
Allow users to react to comments with emojis.,Izinkan pengguna bereaksi terhadap komentar dengan emoji.
Amber,Amber
Anyone will be able to create tickets without any permission. e.g. from webform.,Siapa pun dapat membuat tiket tanpa izin apa pun. misalnya dari formulir web.
Appears in the left sidebar. Recommended size is minimum 32x32 px in PNG or SVG.,Muncul di sidebar kiri. Ukuran yang disarankan adalah minimal 32x32 piksel dalam format PNG atau SVG.
Appears next to the title in your browser tab. Recommended size is minimum 32x32 px in PNG or ICO,Muncul di sebelah judul di tab browser Anda. Ukuran yang disarankan adalah minimal 32x32 px dalam format PNG atau ICO
Appears next to the title in your browser tab. Recommended size is minimum 32x32 px in PNG or ICO.,Muncul di sebelah judul di tab browser Anda. Ukuran yang disarankan adalah minimal 32x32 px dalam format PNG atau ICO.
Apply SLA for Resolution Time,Terapkan SLA untuk Waktu Resolusi
Apply To,Terapkan Ke
Apply on new page,Terapkan di halaman baru
Apply outside working hours,Berlaku di luar jam kerja
Archived,Diarsipkan
Are you sure you want to change tabs? Unsaved changes will be lost.,Apakah Anda yakin ingin mengganti tab? Perubahan yang belum disimpan akan hilang.
Are you sure you want to close this ticket?,Apakah Anda yakin ingin menutup tiket ini?
Are you sure you want to delete these articles?,Apakah Anda yakin ingin menghapus artikel ini?
Are you sure you want to delete this team? This action cannot be reversed!,Apakah Anda yakin ingin menghapus tim ini? Tindakan ini tidak dapat dibatalkan!
Are you sure you want to delete this ticket? This is an irreversible action and cannot be undone.,Apakah Anda yakin ingin menghapus tiket ini? Ini adalah tindakan yang tidak dapat diubah dan tidak dapat dibatalkan.
Are you sure you want to delete this view?,Apakah Anda yakin ingin menghapus tampilan ini?
Are you sure you want to discard changes?,Apakah Anda yakin ingin membuang perubahan?
Are you sure you want to discard this article?,Apakah Anda yakin ingin membuang artikel ini?
Are you sure you want to go back? Unsaved changes will be lost.,Apakah Anda yakin ingin kembali? Perubahan yang belum disimpan akan hilang.
Are you sure you want to leave? Unsaved changes will be lost.,Apakah Anda yakin ingin pergi? Perubahan yang belum disimpan akan hilang.
Are you sure you want to remove the logo?,Apakah Anda yakin ingin menghapus logo tersebut?
Are you sure you want to reset the content? Current content will be overridden.,Apakah Anda yakin ingin menyetel ulang konten? Konten saat ini akan diganti.
Article,Artikel
Article body cannot be set as empty.,Isi artikel tidak dapat dikosongkan.
Article created successfully.,Artikel berhasil dibuat.
Article deleted successfully.,Artikel berhasil dihapus.
Article link copied to clipboard,Tautan artikel disalin ke papan klip
Article updated successfully.,Artikel berhasil diperbarui.
Articles deleted successfully.,Artikel berhasil dihapus.
Articles moved successfully.,Artikel berhasil dipindahkan.
Assign,Menetapkan
Assign a ticket to an agent,Tetapkan tiket ke agen
Assign ticket,Tetapkan tiket
Assign to,Tugaskan ke
Assign to me,Tetapkan ke saya
Assigned To,Ditugaskan Kepada
Assignee Rules,Aturan Penerima Tugas
Assignee's updated successfully.,Penerima tugas berhasil diperbarui.
Assignees,Penerima tugas
Assignment,Penugasan
Assignment Condition,Kondisi Penugasan
Assignment Conditions,Kondisi Penugasan
Assignment Rule,Aturan Penugasan
Assignment Rules,Aturan Penugasan
Assignment Rules automatically route tickets to the right team members based on predefined conditions.,Aturan Penugasan secara otomatis mengarahkan tiket ke anggota tim yang tepat berdasarkan kondisi yang telah ditentukan sebelumnya.
Assignment Schedule,Jadwal Penugasan
Assignment rule,Aturan penugasan
Assignment rule created successfully.,Aturan penugasan berhasil dibuat.
Assignment rule deleted successfully.,Aturan penetapan berhasil dihapus.
Assignment rule duplicated successfully.,Aturan penetapan berhasil diduplikasi.
Assignment rule updated successfully.,Aturan penetapan berhasil diperbarui.
At least one email is required,Setidaknya diperlukan satu email
At least one email required,Setidaknya diperlukan satu email
At least one team is required,Setidaknya diperlukan satu tim
"At-least one of priority, team and ticket type is required","Setidaknya salah satu prioritas, tim, dan jenis tiket diperlukan"
Attachment,Lampiran
Author,Pengarang
Auto update status,Status pembaruan otomatis
Auto-close after (Days),Tutup otomatis setelahnya (Hari)
Auto-close tickets that remain in a status for the specified number of days.,Tiket tutup otomatis yang tetap berstatus selama jumlah hari yang ditentukan.
Auto-generated from the portal view — do not edit directly unless you know what you're doing! ,Dibuat secara otomatis dari tampilan portal — jangan mengedit secara langsung kecuali Anda tahu apa yang Anda lakukan!
Automatically Close Tickets when,Tutup Tiket Secara Otomatis ketika
Automatically close stale tickets,Menutup tiket basi secara otomatis
Automation,Otomatisasi
Average First Response,Rata-rata Respon Pertama
Average First Response Time,Rata-rata Waktu Respons Pertama
Average Resolution,Resolusi Rata-Rata
Average Resolution Time,Waktu Resolusi Rata-rata
Average Response Time,Waktu Respons Rata-rata
Average Time Metrics,Metrik Waktu Rata-rata
Average response and resolution metrics not yet generated,Metrik respons dan resolusi rata-rata belum dihasilkan
Avg. Feedback Rating,Rata-rata Peringkat Umpan Balik
Avg. First Response,Rata-rata Respon Pertama
Avg. Resolution,Rata-rata Resolusi
Avg. feedback rating for the tickets resolved,Rata-rata peringkat umpan balik untuk tiket diselesaikan
Avg. first response time,Rata-rata waktu respons pertama
Avg. resolution time,Rata-rata waktu penyelesaian
Avg. time taken to first respond to a ticket,Rata-rata waktu yang dibutuhkan untuk pertama kali merespons tiket
Avg. time taken to resolve a ticket,Rata-rata waktu yang dibutuhkan untuk menyelesaikan tiket
Back,Kembali
Back to Tickets,Kembali ke Tiket
Base Support Rotation,Rotasi Dukungan Basis
Base URL,URL dasar
Based On,Berdasarkan
"Based on your HR Policy, select your leave allocation period's end date","Berdasarkan Kebijakan SDM Anda, pilih tanggal akhir periode alokasi cuti Anda"
"Based on your HR Policy, select your leave allocation period's start date","Berdasarkan Kebijakan SDM Anda, pilih tanggal mulai periode alokasi cuti Anda"
Black,Hitam
Blue,Biru
Brand name,Nama brand
Branding,Branding
Business Holidays,Hari Libur Bisnis
Busy,Sibuk
Button,Tombol
CSV,CSV
Call Details,Detail Panggilan
Call Logs,Log Panggilan
Call Received By,Panggilan Diterima Oleh
Call duration in seconds,Durasi panggilan dalam detik
Caller,Penelepon
Calls,Panggilan
"Can invite new agents, manage tickets, create custom views and manage public views.","Dapat mengundang agen baru, mengelola tiket, membuat tampilan khusus, dan mengelola tampilan publik."
"Can work on tickets, create custom views and manage private views.","Dapat mengerjakan tiket, membuat tampilan khusus, dan mengelola tampilan pribadi."
Cancel,Batalkan
Cancel Invitation,Batalkan Undangan
Canceled,Dibatalkan
Cannot delete the default SLA. At least one SLA must be marked as default.,Tidak dapat menghapus SLA default. Setidaknya satu SLA harus ditandai sebagai default.
Cannot disable this status as it is linked in HD Settings:<br><br>,Tidak dapat menonaktifkan status ini karena tertaut dalam Setelan HD:<br><br>
